client1, get, key5, , time: 25-09-2024 16:33:39
client148, set, key1, value42, time: 25-09-2024 16:33:40
client149, set, key9, value95, time: 25-09-2024 16:33:40
client150, set, key9, value59, time: 25-09-2024 16:33:40
client151, set, key3, value0, time: 25-09-2024 16:33:40
client152, set, key0, value64, time: 25-09-2024 16:33:40
client153, get, key6, , time: 25-09-2024 16:33:40
client154, get, key3, , time: 25-09-2024 16:33:40
client155, rm, key5, , time: 25-09-2024 16:33:40
client156, get, key2, , time: 25-09-2024 16:33:40
client157, get, key6, , time: 25-09-2024 16:33:40
client158, set, key9, value54, time: 25-09-2024 16:33:40
client159, rm, key7, , time: 25-09-2024 16:33:40
client160, set, key7, value58, time: 25-09-2024 16:33:40
client161, rm, key8, , time: 25-09-2024 16:33:40
client162, get, key0, , time: 25-09-2024 16:33:40
client163, get, key7, , time: 25-09-2024 16:33:40
client164, set, key2, value61, time: 25-09-2024 16:33:40
client165, get, key8, , time: 25-09-2024 16:33:40
client166, rm, key5, , time: 25-09-2024 16:33:40
client167, set, key0, value33, time: 25-09-2024 16:33:40
client173, get, key2, , time: 25-09-2024 16:33:40
client168, set, key2, value15, time: 25-09-2024 16:33:40
client169, rm, key8, , time: 25-09-2024 16:33:40
client170, rm, key3, , time: 25-09-2024 16:33:40
client171, set, key0, value83, time: 25-09-2024 16:33:40
client172, rm, key1, , time: 25-09-2024 16:33:40
client174, set, key6, value12, time: 25-09-2024 16:33:40
client175, rm, key5, , time: 25-09-2024 16:33:40
client176, get, key6, , time: 25-09-2024 16:33:40
client177, get, key8, , time: 25-09-2024 16:33:40
client178, get, key8, , time: 25-09-2024 16:33:40
client179, rm, key0, , time: 25-09-2024 16:33:40
client180, rm, key4, , time: 25-09-2024 16:33:40
client181, set, key4, value24, time: 25-09-2024 16:33:40
client182, set, key3, value2, time: 25-09-2024 16:33:40
client183, rm, key5, , time: 25-09-2024 16:33:40
client184, get, key3, , time: 25-09-2024 16:33:40
client185, rm, key7, , time: 25-09-2024 16:33:40
client186, set, key3, value0, time: 25-09-2024 16:33:40
client187, set, key9, value55, time: 25-09-2024 16:33:40
client188, rm, key7, , time: 25-09-2024 16:33:40
client189, rm, key5, , time: 25-09-2024 16:33:40
client190, rm, key3, , time: 25-09-2024 16:33:40
client191, get, key7, , time: 25-09-2024 16:33:40
client192, rm, key1, , time: 25-09-2024 16:33:40
client193, get, key9, , time: 25-09-2024 16:33:40
client194, rm, key5, , time: 25-09-2024 16:33:40
client195, get, key4, , time: 25-09-2024 16:33:40
client196, get, key0, , time: 25-09-2024 16:33:40
client197, rm, key1, , time: 25-09-2024 16:33:40
client198, get, key6, , time: 25-09-2024 16:33:40
client199, get, key2, , time: 25-09-2024 16:33:40
client200, get, key5, , time: 25-09-2024 16:33:40
